พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2562,313.40,380.03,342.43,316.46,320.09,729.56,330.13,236.05,294.46,276.48,258.77,357.37,"4,155.24",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2563,272.39,251.99,283.37,264.75,207.08,132.97,747.93,170.83,184.08,275.81,178.64,224.34,"3,194.19",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2564,199.81,221.68,174.62,331.90,270.52,820.77,"1,144.97",437.04,321.03,274.99,266.88,545.39,"5,009.59",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2565,600.84,966.63,608.96,734.91,808.55,804.48,986.54,258.06,407.59,345.36,295.63,273.40,"7,090.96",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2566,213.08,208.27,166.39,146.55,174.80,219.84,379.15,229.97,222.71,232.29,191.84,34.31,"2,419.20",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2567,242.81,349.27,239.13,800.49,651.98,645.09,460.73,275.81,,,,,"3,665.32",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
ค่าเฉลี่ย,355.02,433.47,472.81,476.40,724.64,836.46,951.28,509.77,451.56,391.52,308.49,363.70,"6,275.11",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2537,126.06,454.57,819.37,472.56,660.21,"1,670.09",835.21,393.98,452.82,233.44,360.85,691.24,"7,170.41",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2538,673.45,636.85,629.68,546.22,669.02,"1,733.15","1,144.39",562.88,464.73,447.00,762.45,"1,061.40","9,331.23",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2539,951.23,891.77,914.22,641.26,787.71,"2,235.84","2,009.69","1,081.27",575.35,518.70,762.74,870.64,"12,240.43",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
